project,arc,arc_type,sequence,top_folder,path,name,size_bytes,modified_utc,mapped_by,needs_review
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/05_The_Woman/Master.ipynb,Master.ipynb,1746,2025-11-22T01:23:39.142680+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/05_The_Woman/metadata.json,metadata.json,419,2025-11-22T01:27:05.373466+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/06_A_Star/Master.ipynb,Master.ipynb,1806,2025-11-22T01:23:39.144068+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/06_A_Star/metadata.json,metadata.json,438,2025-11-22T01:27:05.373554+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/07_A_Tree/Master.ipynb,Master.ipynb,1741,2025-11-22T01:23:39.145462+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/07_A_Tree/metadata.json,metadata.json,423,2025-11-22T01:27:05.373638+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/08_Dawn/Master.ipynb,Master.ipynb,1817,2025-11-22T01:23:39.146862+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/08_Dawn/metadata.json,metadata.json,453,2025-11-22T01:27:05.373720+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,(root),FormingTheAccords.ipynb,FormingTheAccords.ipynb,49188,2025-11-22T01:28:59.602523+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,(root),MANUSKRIPT,MANUSKRIPT,11,2025-11-14T21:37:29.534691+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,(root),Omniversal Aether_ Magnetic Map.png,Omniversal Aether_ Magnetic Map.png,2027603,2025-11-22T02:42:35.972933+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light.msk,First_Light.msk,253590,2025-08-19T18:01:34+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/MANUSKRIPT,MANUSKRIPT,1,2025-05-27T14:10:48+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/characters/0-Kalina_Dodson.txt,0-Kalina_Dodson.txt,136,2025-05-27T14:13:08+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/infos.txt,infos.txt,233,2025-05-27T14:11:58+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/labels.txt,labels.txt,145,2025-05-27T14:10:48+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/outline/.ipynb_checkpoints/00-Chapter_1-checkpoint.md,00-Chapter_1-checkpoint.md,105,2025-05-27T14:10:48+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/outline/00-Chapter_1.md,00-Chapter_1.md,105,2025-05-27T14:10:48+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/outline/01-Chapter_2.md,01-Chapter_2.md,105,2025-05-27T14:10:48+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/outline/02-Chapter_3.md,02-Chapter_3.md,105,2025-05-27T14:10:48+00:00,keyword:first_light,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,Omniversal_Archive_FULL,Omniversal_Archive_FULL/First_Light/outline/03-Chapter_4.md,03-Chapter_4.md,105,2025-05-27T14:10:48+00:00,keyword:first_light,no
