Track Title,Artist,ISRC,Release Date,MLC Status,BMI Status,Copyright Status,Total Streams,Total Earnings USD,Spotify URL,Internal Notes
Syntax,Hawk Eye The Rapper,QZK6N2262195,2020-03-01,Unregistered,Registered,Unfiled,5,0.05883335,https://open.spotify.com/track/1GM5MJiDfTh9H2qjLmldnV,Imported from EverLight merge
Hocus Pocus,Hawk Eye The Rapper,QZK6N2262194,2020-03-01,Unregistered,Registered,Unfiled,7,0.03320021,https://open.spotify.com/track/3FerBtAqvlCrqf7y6rtp6O,Imported from EverLight merge
Trafficked,Hawk Eye The Rapper,QZK6N2262193,2020-03-01,Unregistered,Registered,Unfiled,5,0.00783568,https://open.spotify.com/track/3uUGLjuE61kUqhhbJ1GupJ,Imported from EverLight merge
Monumental,Hawk Eye The Rapper,QZK6N2262192,2020-03-01,Unregistered,Registered,Unfiled,9,0.06960261,https://open.spotify.com/track/6SRb6U3v3Q8iKlwZlal4yi,Imported from EverLight merge
Ashes,Hawk Eye The Rapper,QZK6N2262190,2020-03-01,Unregistered,Registered,Unfiled,1617,0.09078812,https://open.spotify.com/track/0fBZ5y62TmaVlPC6rUL6nx,Imported from EverLight merge
Fuck Society,Hawk Eye The Rapper,QZK6N2262189,2020-03-01,Unregistered,Registered,Unfiled,42,0.15304693,https://open.spotify.com/track/2sxAWgRJUoeU1ThjuUBXol,Imported from EverLight merge
Lifted,Hawk Eye The Rapper,QZK6N2262188,2020-03-01,Unregistered,Registered,Unfiled,0,0.01015931,https://open.spotify.com/track/74XORZAhujXxGlN231hqLG,Imported from EverLight merge
Full Disclosure,Hawk Eye The Rapper,QZK6N2262187,2020-03-01,Unregistered,Registered,Unfiled,1029,0.25758785,https://open.spotify.com/track/5sXLAyx73vkFX8jD3cOzy1,Imported from EverLight merge
Last One Left,Hawk Eye The Rapper,QZK6N2262186,2020-03-01,Unregistered,Registered,Unfiled,12,0.14395406,https://open.spotify.com/track/5NeC4t9YQXBM0T2fCf7nc7,Imported from EverLight merge
Mic Check,Hawk Eye The Rapper,QZK6N2262184,2020-03-01,Unregistered,Registered,Unfiled,12,0.058089520000000006,https://open.spotify.com/track/5pNYOPXDqxwteWgqjtFzwS,Imported from EverLight merge
Mind Kontrol,Hawk Eye The Rapper,QZFZ62185044,2021-08-06,Unregistered,Registered,Unfiled,4456,1.89652301,https://open.spotify.com/track/4yFsnTXuQOi4TTOedymx9K,Imported from EverLight merge
K.T.,Hawk Eye The Rapper,QZHN92001339,2020-07-04,Unregistered,Registered,Unfiled,27,0.01102962,https://open.spotify.com/track/274qBB2vJqwCsVtpYeorRt,Imported from EverLight merge
K.T.,Hawk Eye The Rapper,QZHN92001339,2020-07-04,Unregistered,Registered,Unfiled,27,0.77031499,https://open.spotify.com/track/274qBB2vJqwCsVtpYeorRt,Imported from EverLight merge
Reverse This Curse,Hawk Eye The Rapper,QZHN92001338,2020-07-04,Unregistered,Registered,Unfiled,20,0.47409389,https://open.spotify.com/track/3GRKhPuSAS8mUV7DfvTG8K,Imported from EverLight merge
Scripture,Hawk Eye The Rapper,QZHN92001335,2020-07-04,Unregistered,Registered,Unfiled,12,1.5312192999999998,https://open.spotify.com/track/5BwXiHyXAoSPFukLr7us5d,Imported from EverLight merge
Superstitions,Hawk Eye The Rapper,QZHN92001334,2020-07-04,Unregistered,Registered,Unfiled,8,0.32665833,https://open.spotify.com/track/73YuNA9lwZZPcSMnk2x29u,Imported from EverLight merge
Warning Shots,Hawk Eye The Rapper,QZHN92001330,2020-07-04,Unregistered,Registered,Unfiled,31,0.83547481,https://open.spotify.com/track/6nzdgDHarZBCPBkrX6veP3,Imported from EverLight merge
Psyops,Hawk Eye The Rapper,QZHN52064806,2020-06-15,Unregistered,Registered,Unfiled,2123,2.96348875,https://open.spotify.com/track/7AwPEndm02E0Eq6PBqPJU9,Imported from EverLight merge
The Story Of Our Former Glory,Hawk Eye The Rapper,QZFZ42008687,2020-03-01,Unregistered,Registered,Unfiled,39,0.04886629,https://open.spotify.com/track/2alcxsiHvhvljYOwjxmTnC,Imported from EverLight merge
The Story Of Our Former Glory,Hawk Eye The Rapper,QZFZ42008687,2020-03-01,Unregistered,Registered,Unfiled,39,0.52469321,https://open.spotify.com/track/2alcxsiHvhvljYOwjxmTnC,Imported from EverLight merge
Hocus Pocus,Hawk Eye The Rapper,QZFZ42008684,2020-03-01,Unregistered,Registered,Unfiled,7,0.49232766,https://open.spotify.com/track/7hRGeHTW8gl1DiL8INc5UP,Imported from EverLight merge
Trafficked,Hawk Eye The Rapper,QZFZ42008683,2020-03-01,Unregistered,Registered,Unfiled,5,0.27413349,https://open.spotify.com/track/0MCQ019vidMAl8uMlYU5O4,Imported from EverLight merge
Last One Left,Hawk Eye The Rapper,QZFZ42008676,2020-03-01,Unregistered,Registered,Unfiled,12,0.43317897,https://open.spotify.com/track/4spEIRqRKvcLGPMJr0EDmy,Imported from EverLight merge
