Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-10-24	2025-10-24	2025-09	YouTube (Ads)	Hawk Eye The Rapper	Malicious	QZDA62408794	198080598484	0	50	Song	US	0	0.00011135	0.00000000
2025-10-24	2025-10-24	2025-08	Spotify	Hawk Eye The Rapper	Full Disclosure	QZFZ42008677	198081390872	3	100	Song	US	0	0.01001500	0.00000000
2025-10-09	2025-10-09	2025-08	Pandora	Hawk Eye The Rapper	Monumental	QZFZ42008682	198081390872	1	100	Song	US	0	0.00535585	0.00000000
2025-10-09	2025-10-09	2025-08	Pandora	Hawk Eye The Rapper	Ashes	QZFZ42008680	198081390872	1	100	Song	US	0	0.00535585	0.00000000
2025-10-09	2025-10-09	2025-08	Pandora	Hawk Eye The Rapper	When Shit Gets Real	QZDA62424854	198081496550	1	100	Song	US	0	0.00350002	0.00000000
2025-10-09	2025-10-09	2025-05	Audiomack	Hawk Eye The Rapper	Illuminati	OZFZ22212084	198078444786	1	100	Song	US	0	0.00018044	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	The Vow	QZK6G2540773	199338810679	3	100	Song	US	0	0.00050629	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Psyops	QZHN52064806	198078224548	6	100	Song	US	0	0.00053322	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Menace To Society	OZHN92001336	198082358857	2	100	Song	US	0	0.00001575	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	The Story Of Our Former Glory	QZFZ42008687	198081390872	4	100	Song	US	0	0.00051834	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Last One Left	QZFZ42008676	198081390872	1	100	Song	AU	0	0.00100000	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Last One Left	QZFZ42008676	198081390872	3	100	Song	US	0	0.00002319	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Shakur	QZFZ42008675	198081390872	3	100	Song	US	0	0.00002319	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Mic Check	QZFZ42008674	198081390872	3	100	Song	US	0	0.00002319	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Swordfish	QZFZ42008673	198081390872	5	100	Song	US	0	0.00052808	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Mind Kontrol	QZFZ62185044	198086399146	10	100	Song	US	0	0.00056328	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Incantations	QZFZ42192650	198080486965	5	100	Song	US	0	0.00052348	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Will You Listen?	QZFZ62027665	198086399429	7	100	Song	US	0	0.00054383	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Krystal Klear	QZDA62424857	198081496550	3	100	Song	IR	0	0.00100954	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Krystal Klear	QZDA62424857	198081496550	7	100	Song	US	0	0.00054297	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Invokation	QZDA62424856	198081496550	6	100	Song	US	0	0.00053322	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	1	100	Song	ID	0	0.00033652	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	2	100	Song	US	0	0.00001575	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	When Shit Gets Real	QZDA62424854	198081496550	5	100	Song	US	0	0.00052808	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	The Shadow Is Rising	QZDA62424853	198081496550	12	100	Song	US	0	0.00149091	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	The Devil Is In The Details	QZWFN2366283	198081496550	3	100	Song	US	0	0.00002549	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Spiteful Poetry	QZDA62424851	198081496550	4	100	Song	US	0	0.00051604	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Never Heard Of Me?	QZDA62424850	198081496550	10	100	Song	US	0	0.00056184	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	1	100	Song	TH	0	0.00031150	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	4	100	Song	US	0	0.00051834	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Domestic Terrorist	QZDA62424848	198081496550	2	100	Song	BG	0	0.00068500	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Domestic Terrorist	QZDA62424848	198081496550	7	100	Song	US	0	0.00054756	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Down The Rabbit Hole	QZDA62424847	198081496550	4	100	Song	US	0	0.00051604	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	5	100	Song	US	0	0.00052060	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	I'm Him	QZDA62408797	198080598484	4	50	Song	US	0	0.00025687	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	The MotherFucking Problem	QZDA62408796	198080598484	4	50	Song	US	0	0.00025917	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Gang Shit	QZDA62408795	198080598484	5	50	Song	US	0	0.00026289	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Malicious	QZDA62408794	198080598484	4	50	Song	US	0	0.00025917	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Implants	QZFZ22212083	197044434691	4	100	Song	US	0	0.00003523	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Reverse This Curse	QZHN92001338	197044444430	2	100	Song	US	0	0.00001575	0.00000000
